plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
HD 11977 b,711,7.40012,2.063,0.4,,,,,1,RV,2005,28.733375,-67.64748056,0.931,4.695,67.0691,2.31,10.09,5067,2.91,-0.21,8,0.667224,0.0389307,0.07,,,,,0.727524,0.12,0.32,42,0.15,0.1,8,0.667224,0.0389307,0.07,,,,,0.712082,0.12,-0.32,42,0.15,0.1,2.4,1,-1,1.2,0.7,-0.7,,
HD 120084 b,2082,4.4772,4.26892,0.66,,,,,1,RV,2013,205.6640834,78.064325,1,5.91,97.6562,2.39,10.9537,4892,2.71,0.09,24,3.44759,1.35211,0.14,,,,,4.4596,0.06,0.350524,22,0.08,0.05,35,3.44759,1.35211,0.1,,,,,4.4596,0.3,0.350524,22,-0.08,0.05,2.44,,,,,,,
HD 121504 b,63.330002,1.2223,0.328688,0.03,,,,,1,RV,2004,209.3229167,-56.03983889,0.593,7.54,41.25,1.18,0.844267,6075,4.64,0.16,0.03,0.0452642,0.00547911,0.01,,,,,0.43,0,0.0409589,50,0.12,0.05,0.03,0.0452642,0.00547911,0.01,,,,,-0.42,0,0.0409589,50,0.12,0.05,2.6,0,0,1.2,,,0.21,-4.73214
HD 122562 b,2777,24,4.1,0.71,,,,,1,RV,2016,210.5875,20.88138892,,7.69,53.8,1.13,,4958,,0.31,104,2,0.2,0.01,,,,,,0.13,,67,,0.04,81,2,0.2,0.01,,,,,,0.13,,67,,0.04,,,,,,,,
HD 1237 b,133.71001,3.37,0.494668,0.511,,,,,1,RV,2001,4.046833335,-79.85104167,0.749,6.59,17.55,0.9,0.858011,5536,4.56,0.12,0.2,0.09,0.00825921,0.017,,,,,0.08,0,0.0416453,50,0.12,0.05,0.2,0.09,0.00825921,0.017,,,,,-0.08,0,0.0416453,50,0.12,0.05,5.5,0,0,8.77,,,0.391,-4.44008
HD 12484 b,58.83,2.98,0.297,0.07,,,,,1,RV,2016,30.611374,2.815859,0.66,8.17,48.72,1.01,,5920,4.65,0.05,0.08,0.14,0.005,0.03,,,,,2.32,0.03,,30,0.05,0.02,0.08,0.14,0.005,0.03,,,,,-2.12,0.03,,30,-0.05,0.02,8.2,1,-1,,,,,
HD 125595 b,9.6737,0.042,0.0809437,0,,,,,1,RV,2011,215.3484167,-40.39378333,1.107,9.03,28.27,0.756,1.03336,4908,4.32,0.02,0.0039,0.004,0.00134924,,,,,,0.22,0.017,0.0575489,87,0.2,0.06,0.0039,0.004,0.00134924,,,,,,-0.22,0.017,0.0575489,87,0.2,0.06,1.5,,,3.53,3.53,3.53,,-4.787
HD 125612 b,559.40487,3.06805,1.3728,0.46,,,,,3,RV,2007,215.223125,-17.48136111,0.628,8.31,57.07,1.09,1.0426,5900,4.45,0.23,1.2902,0.142768,0.025049,0.01,,,,,0.99,0.03,0.0371672,18,0.05,0.014,1.2902,0.142768,0.025049,0.01,,,,,-0.95,-0.03,0.0371672,-18,0.05,-0.014,2.1,0.5,-0.5,3,,,0.178,-4.85
HD 125612 c,4.1547,0.0580667,0.0522124,0.27499,,,,,3,RV,2010,215.223125,-17.48136111,0.628,8.31,57.07,1.09,1.0426,5900,4.45,0.23,0.0005,0.0103276,0.000949327,0.12205,,,,,0.99,0.03,0.0371672,18,0.05,0.014,0.0005,0.0103276,0.000949327,0.12205,,,,,-0.95,-0.03,0.0371672,-18,0.05,-0.014,2.1,0.5,-0.5,3,,,0.178,-4.85
HD 125612 d,3008,7.2,4.2,0.28,,,,,3,RV,2009,215.222977,-17.481522,0.613,8.317,57.07,1.09,1.05,5900,4.41,0.23,202,,,0.12,,,,,0.99,0.03,0.08,18,0.05,0.014,202,,,0.12,,,,,-0.95,-0.03,0.08,-18,-0.05,-0.014,2.1,0.5,-0.5,3,,,,
HD 12648 b,133.6,2.89937,0.543924,0.04,,,,,1,RV,2015,34.74895833,85.73594722,0.904,6.98,185.89,1.2,9.2,4835.8,2.18,-0.57,0.5,0.288196,0.0151698,0.16,,,,,8.22,0.1,0.6,7.5,0.03,0.02,0.5,0.288196,0.0151698,0.16,,,,,-7.55,0.1,0.6,7.5,-0.03,0.02,4.8,,,4.5,1,1,,
HD 126525 b,948.12,0.224,1.8105,0.13,,,,,1,RV,2011,216.8875,-51.9330556,,7.85,38.1,,,,,,21.966,0.0182,0.0411,0.07,,,,,1,,,,,,21.966,0.0182,0.0411,0.07,,,,,1,,,,,,,,,,,,,
HD 12661 b,262.70861,2.176,0.8079,0.3768,,,,,2,RV,2001,31.14316667,25.41473056,0.71,7.43,37.94,1.02,1.06782,5742.75,4.42339,0.362341,0.082795,0.037,0.0052,0.0077,,,,,0.33,0.02,0.0366505,44,0.06,0.03,0.082795,-0.037,-0.0052,-0.0077,,,,,-0.32,-0.02,0.0366505,44,0.06,0.03,1.30116,0.5,0.5,6.39,1.94,-1.94,0.15,-5.07937
HD 12661 c,1707.8812,1.812,2.8145,0.0312556,,,,,2,RV,2003,31.14316667,25.41473056,0.71,7.43,37.94,1.02,1.06782,5742.75,4.42339,0.362341,13.8648,0.048,0.0238,0.0220212,,,,,0.33,0.02,0.0366505,44,0.06,0.03,13.8648,-0.048,-0.0238,0.0220212,,,,,-0.32,-0.02,0.0366505,44,0.06,0.03,1.30116,0.5,0.5,6.39,1.94,-1.94,0.149553,-5.07937
HD 126614 A b,1244,0.38,2.35,0.41,,,,,1,RV,2010,216.7015416,-5.177419444,0.81,8.81,74.4,1.145,1.10978,5585,4.39,0.56,17,0.04,0.02,0.1,,,,,1.99,0.028,0.0394463,44,0.08,0.04,17,0.04,0.02,0.1,,,,,-1.89,0.028,0.0394463,44,-0.08,0.04,2,0.5,0.5,7.2,2,2,0.152,-5.44
HD 128311 b,453.019,2.18,1.084,0.303,30,,,,2,RV,2003,219.0018333,9.747125,0.973,7.48,16.5016,0.828,0.76,4965.42,4.61,0.204777,0.404,0.022,0.006,0.011,,,,,0.229153,0.00800002,0.02,44,0.01,0.03,-0.404,0.022,-0.006,-0.011,,,,,0.222959,0.01199996,-0.02,44,-0.02,0.03,3.64863,0.5,0.5,0.96,,,0.6999,-4.41509
HD 128311 c,921.538,3.24848,1.74,0.159,50,,,,2,RV,2005,219.0018333,9.747125,0.973,7.48,16.5016,0.828,0.76,4965.42,4.61,0.204777,1.15,0.159203,0.01,0.006,10,,,,0.229153,0.00800002,0.02,44,0.01,0.03,-1.15,0.159203,-0.01,-0.006,10,,,,0.222959,0.01199996,-0.02,44,-0.02,0.03,3.64863,0.5,0.5,0.96,,,0.7,-4.41509
HD 128356 b,298.2,0.89,0.87,0.57,,,,,1,RV,2016,219.270355,-25.802563,1.017,8.29,26.03,0.65,0.85,4875,4.52,0.17,1.6,0.07,0.03,0.08,,,,,0.52,0.05,0.02,100,0.06,0.1,1.6,0.07,0.03,0.08,,,,,0.52,0.05,0.02,100,-0.06,0.1,1.3,0.1,-0.1,10,5,5,,
HD 129445 b,1840,1.6,2.9,0.7,,,,,1,RV,2009,221.512772,-68.762749,0.756,8.8,70.81,0.99,,,,0.25,55,0.6,0.2,0.1,,,,,2.52,,,,,,55,0.6,0.2,0.1,,,,,-2.35,,,,,,3,,,,,,,
HD 130322 b,10.70871,1.04309,0.0896052,0.044,76,,,,1,RV,2000,221.8866666,-0.281133334,0.781,8.04,31.7058,0.836,0.986573,5387,4.52,0.00632988,0.00018,0.0397495,0.00149342,0.018,42,,,,1.23231,0.0179999,0.0347126,44,0.06,0.03,-0.00018,0.0397495,0.00149342,0.018,42,,,,1.14343,0.0120001,0.0347126,-44,-0.06,0.03,1.6057,0.5,0.5,0.35,,,0.229552,-4.77773
HD 131399 A b,200887.5,4,82,0.35,40,,,,1,Imaging,2016,223.605453,-34.142788,0.088,7.074,98,1.82,,9300,,,54787.5,1,23,0.25,80,,,,,,,,,,-54787.5,1,-27,0.25,-20,,,,,,,,,,,,,,,,,
HD 131496 b,883,2.24115,2.1121,0.163,,,,,1,RV,2011,223.3458333,18.23548889,1.04,7.96,137.84,1.61,4.6,4927,3.3,0.25,29,0.178426,0.0699438,0.073,,,,,4.95,0.11,0.1,44,0.06,0.03,29,0.178426,0.0699438,0.073,,,,,-4.62,0.11,0.1,44,-0.06,0.03,0.48,0.5,-0.5,2.7,0.5,0.5,0.121,
HD 131664 b,1951,18.15,3.17,0.638,,,,,1,RV,2009,225.0251667,-73.53540833,0.667,8.13,52.27,1.1,1.06217,5886,4.44,0.32,41,0.35,0.03,0.002,,,,,0.72,0.03,0.0404881,21,0.1,0.02,-41,-0.35,-0.03,0.002,,,,,-0.7,-0.03,0.0404881,-21,-0.1,-0.02,2.9,0,0,2.4,1.8,-1.8,,-4.82
HD 13189 b,471.6,7.12332,1.25186,0.27,,,,,1,RV,2005,32.417375,32.31642222,1.48,7.56,1851.85,1.17,32.3233,4337,1.83,-0.39,6,1.02478,0.0827152,0.06,,,,,58.25,0.23,1.03435,133,0.31,0.19,6,1.02478,0.0827152,0.06,,,,,-46.81,0.23,1.03435,133,0.31,0.19,2.12,0.22,0.22,,,,,
HD 132406 b,974,5.60495,1.98227,0.34,,,,,1,RV,2007,224.2277916,53.38285,0.65,8.45,70.35,1.09,,5885,,0.18,39,1.29766,0.0623818,0.09,,,,,1.53,0.05,,50,,0.05,39,1.29766,0.0623818,0.09,,,,,-1.47,0.05,,50,,0.05,,,,6.4,0.8,0.8,,
HD 132563 B b,1544,1.49,2.62,0.22,,,,,1,RV,2011,224.589875,44.04331667,0.56,9.472,107.5,1.01,,5985,4.27,-0.19,34,0.09,0.04,0.09,,,,,4,0.01,,100,,0.1,34,0.09,0.04,0.09,,,,,-3.73,0.01,,100,,0.1,1.5,0.5,0.5,5,,,,
HD 133131 A b,649,1.43,1.44,0.33,,,,,2,RV,2016,225.897705,-27.842573,0.589,8.4,51.2,0.95,,5799,4.39,-0.306,3,0.04,0.005,0.03,,,,,0.68,,,19,0.05,0.016,3,0.04,0.005,-0.03,,,,,-0.66,,,19,-0.05,0.016,4,,,9.7,,,,
HD 133131 A c,3407,0.48,4.36,0.49,,,,,2,RV,2016,225.897705,-27.842573,0.589,8.4,51.2,0.95,,5799,4.39,-0.306,970,0.14,0.82,0.22,,,,,0.68,,,19,0.05,0.016,970,0.14,0.82,-0.22,,,,,-0.66,,,19,-0.05,0.016,4,,,9.7,,,,
HD 133131 B b,6119,2.5,6.15,0.62,,,,,2,RV,2016,225.8992,-27.840994,0.618,8.42,47,0.93,,5805,4.41,-0.281,831,0.05,0.59,0.04,,,,,,,,15,0.04,0.013,831,0.05,-0.59,0.04,,,,,,,,15,-0.04,0.013,7,,,9.7,,,,
HD 134060 b,3.27,0.0351,0.0444,0.4,,,,,2,RV,2011,227.6875,-61.4222222,,6.29,24.2,,,,,,0.0002,0.0021,0.0007,0.04,,,,,0.25,,,,,,0.0002,0.0021,0.0007,0.04,,,,,0.25,,,,,,,,,,,,,
HD 134060 c,1160.9,0.1507,2.2263,0.75,,,,,2,RV,2011,227.6875,-61.4222222,,6.29,24.2,,,,,,27.046,0.071,0.0507,0.19,,,,,0.25,,,,,,27.046,0.071,0.0507,0.19,,,,,0.25,,,,,,,,,,,,,
HD 134113 b,201.68,47,0.638,0.0891,,,,,1,RV,2016,226.9458333,8.87972225,,8.26,71.9,0.81,,5782,,-0.74,0.004,3,0.01,0.002,,,,,,0.01,,22,,0.02,0.004,3,0.01,0.002,,,,,,0.01,,22,,0.02,,,,,,,,
HD 134606 b,12.083,0.0292,0.1023,0.15,,,,,3,RV,2011,228.8125,-70.5197222,,6.85,26.5,,,,,,0.0096,0.003,0.0017,0.1,,,,,0.4,,,,,,0.0096,0.003,0.0017,0.1,,,,,0.4,,,,,,,,,,,,,
HD 134606 c,59.519,0.0382,0.2962,0.29,,,,,3,RV,2011,228.8125,-70.5197222,,6.85,26.5,,,,,,0.1746,0.0048,0.0049,0.2,,,,,0.4,,,,,,0.1746,0.0048,0.0049,0.2,,,,,0.4,,,,,,,,,,,,,
HD 134606 d,459.26,0.121,1.1567,0.46,,,,,3,RV,2011,228.8125,-70.5197222,,6.85,26.5,,,,,,8.3238,0.013,0.0241,0.09,,,,,0.4,,,,,,8.3238,0.013,0.0241,0.09,,,,,0.4,,,,,,,,,,,,,
HD 134987 b,258.19,1.59,0.807929,0.233,,,,,2,RV,2000,228.3705417,-25.30916389,0.691,6.47,26.2055,1.1,1.25,5740,4.34826,0.25,0.07,0.02,0.0159702,0.002,,,,,0.418617,0.07,0.04,23,0.06,0.02,0.07,0.02,0.0159702,0.002,,,,,0.405655,-0.04,0.04,23,0.06,0.02,2.2,0.5,-0.5,8.4,1.6,-1.4,0.147033,-5.0938
HD 134987 c,5000,0.82,5.82513,0.12,,,,,2,RV,2000,228.3705417,-25.30916389,0.691,6.47,26.2055,1.1,1.25,5740,4.34826,0.25,400,0.03,0.331323,0.02,,,,,0.418617,0.07,0.04,23,0.06,0.02,400,0.03,0.331323,0.02,,,,,0.405655,-0.04,0.04,23,0.06,0.02,2.2,0.5,-0.5,8.4,1.6,-1.4,0.147033,-5.0938
HD 136118 b,1187.3,11.6809,2.33328,0.338,,,,,1,RV,2002,229.7314167,-1.592444444,0.553,6.93,46.5766,1.191,1.75082,6097.41,4.05318,-0.0502233,2.4,0.418741,0.0390149,0.015,,,,,1.20169,0.024,0.0567361,44,0.06,0.03,2.4,0.418741,0.0390149,0.015,,,,,1.14273,0.026,0.0567361,44,0.06,0.03,7.33358,0.5,0.5,,,,0.156182,-4.98816
HD 136352 b,11.577,0.0166,0.0933,0.18,,,,,3,RV,2011,230.45,-48.3175,,5.65,14.8,,,,,,0.0056,0.0025,0.0015,0.14,,,,,0.08,,,,,,0.0056,0.0025,0.0015,0.14,,,,,0.08,,,,,,,,,,,,,
HD 136352 c,27.582,0.0358,0.1665,0.16,,,,,3,RV,2011,230.45,-48.3175,,5.65,14.8,,,,,,0.0225,0.0031,0.0028,0.07,,,,,0.08,,,,,,0.0225,0.0031,0.0028,0.07,,,,,0.08,,,,,,,,,,,,,
HD 136352 d,106.72,0.03,0.411,0.43,,,,,3,RV,2011,230.45,-48.3175,,5.65,14.8,,,,,,1.0284,0.011,0.0073,0.24,,,,,0.08,,,,,,1.0284,0.011,0.0073,0.24,,,,,0.08,,,,,,,,,,,,,
HD 136418 b,464.3,2,1.32,0.255,,,,,1,RV,2010,229.7758334,41.73364722,0.93,7.88,106.9,1.33,3.4,5071,3.6,-0.07,3.2,0.1,0.03,0.041,,,,,2.81,0.09,0.1,44,0.06,0.03,3.2,0.1,0.03,0.041,,,,,-2.67,0.09,0.1,44,-0.06,0.03,1.66,0.5,0.5,4,1,1,0.14,-5.19
HD 137388 b,330,0.227816,0.88883,0.36,,,,,1,RV,2011,233.9170416,-80.20469444,0.891,8.71,40.34,0.86,0.97784,5240,4.42,0.18,2,0.0285708,0.0157629,0.12,,,,,0.37,,0.0314308,53,0.01,0.03,-4,0.0285708,0.0157629,0.12,,,,,-0.36,,0.0314308,53,0.01,0.03,4,,,6.45,0.74,0.74,,-4.9
HD 13808 b,14.182,0.0325,0.1017,0.17,,,,,2,RV,2011,33.1791667,-53.7438889,,8.38,28.6,,,,,,0.005,0.0029,0.0016,0.07,,,,,0.3,,,,,,0.005,0.0029,0.0016,0.07,,,,,0.3,,,,,,,,,,,,,
HD 13808 c,53.832,0.036,0.2476,0.43,,,,,2,RV,2011,33.1791667,-53.7438889,,8.38,28.6,,,,,,0.1127,0.0051,0.0041,,,,,,0.3,,,,,,0.1127,0.0051,0.0041,,,,,,0.3,,,,,,,,,,,,,
HD 13908 b,19.382,0.865,0.154,0.046,,,,,2,RV,2013,34.56054167,65.59445278,0.53,7.51,79.97,1.29,1.67,6255,4.11,0.01,0.006,0.035,0.0025,0.022,,,,,1.94,0.04,0.1,66,0.11,0.04,0.006,0.035,0.0025,0.022,,,,,-1.85,0.04,-0.1,66,-0.11,0.04,4.2,0.5,-0.5,2.9,0.4,0.4,,-4.9
HD 13908 c,931,5.13,2.03,0.12,,,,,2,RV,2013,34.56054167,65.59445278,0.53,7.51,79.97,1.29,1.67,6255,4.11,0.01,17,0.25,0.04,0.02,,,,,1.94,0.04,0.1,66,0.11,0.04,17,0.25,0.04,0.02,,,,,-1.85,0.04,-0.1,66,-0.11,0.04,4.2,0.5,-0.5,2.9,0.4,0.4,,-4.9
HD 13931 b,4218,1.88123,5.15,0.02,,,,,1,RV,2010,34.19708333,43.77344167,0.64,7.61,46.75,1.022,1.22417,5829,4.3,0.03,388,0.141556,0.29,0.05,,,,,0.53,0.0200001,0.0423161,44,0.08,0.04,388,0.141556,0.29,0.05,,,,,-0.52,0.0219999,0.0423161,44,-0.08,0.04,2.02,0.5,0.5,8.4,2,2,0.161,-4.99
HD 139357 b,1125.7,10.0754,2.34618,0.1,,,,,1,RV,2009,233.8175834,53.92213889,1.19,5.977,118.064,1.35,7.76389,4700,2.9,-0.13,9,1.21122,0.139594,0.02,,,,,4.33527,0.24,0.248506,70,0.15,0.05,9,1.21122,0.139594,0.02,,,,,4.03867,0.24,0.248506,70,-0.15,0.05,0,0,0,3.07,1.47,1.47,,
HD 14067 b,1455,7.8,3.4,0.533,,,,,1,RV,2014,34.293499,23.767832,1.025,6.53,135.04,2.4,12.4,4815,2.61,-0.1,13,0.7,0.1,0.043,,,,,7.43,0.2,1.1,100,0.1,0.08,12,0.7,0.1,-0.047,,,,,-6.7,0.2,1.1,100,-0.1,0.08,1,,,0.69,0.2,0.2,,
HD 141399 b,94.44,0.451,0.415,0.04,,,,,4,RV,2014,236.724228,46.986263,0.73,7.2,37.38,1.07,1.46,5600,4.28,0.35,0.05,0.03,0.011,0.02,,,,,0.31,0.08,0.15,40,0.05,0.03,0.05,0.03,-0.011,0.02,,,,,-0.3,0.08,0.15,-40,-0.05,0.03,2.9,1,-1,,,,0.137,-5.17
HD 141399 c,201.99,1.33,0.689,0.048,,,,,4,RV,2014,236.724228,46.986263,0.73,7.2,37.38,1.07,1.46,5600,4.28,0.35,0.08,0.08,0.02,0.009,,,,,0.31,0.08,0.15,40,0.05,0.03,0.08,0.08,0.02,-0.009,,,,,-0.3,0.08,0.15,-40,-0.05,0.03,2.9,1,-1,,,,0.137,-5.17
HD 141399 d,1069.8,1.18,2.09,0.074,,,,,4,RV,2014,236.724228,46.986263,0.73,7.2,37.38,1.07,1.46,5600,4.28,0.35,6.7,0.08,0.06,0.025,,,,,0.31,0.08,0.15,40,0.05,0.03,6.7,0.08,0.06,0.025,,,,,-0.3,0.08,0.15,-40,-0.05,0.03,2.9,1,-1,,,,0.137,-5.17
HD 141399 e,5000,0.66,5,0.26,,,,,4,RV,2014,236.724228,46.986263,0.73,7.2,37.38,1.07,1.46,5600,4.28,0.35,560,0.1,1.5,0.22,,,,,0.31,0.08,0.15,40,0.05,0.03,2000,0.1,1.5,0.22,,,,,-0.3,0.08,0.15,-40,-0.05,0.03,2.9,1,-1,,,,0.137,-5.17
HD 141937 b,653.22,9.316,1.4877,0.41,,,,,1,RV,2002,238.072875,-18.43612222,0.628,7.25,32.66,1.03,1.06384,5846.82,4.41973,0.128642,1.21,0.329,0.0097,0.01,,,,,0.38,0.02,0.036555,44,0.06,0.03,1.21,-0.329,-0.0097,0.01,,,,,-0.37,-0.02,0.036555,44,0.06,0.03,1.9,0.5,-0.5,2.32,0.41,-0.41,0.168801,-4.93578
HD 142 b,349.7,1.25,1.04292,0.17,,,,,2,RV,2002,1.577749995,-49.07509444,0.519,5.7,25.7136,1.232,1.47,6248.6,4.18534,0.0997966,1.2,0.15,0.0187933,0.06,,,,,0.246988,0.022,0.04,44,0.06,0.03,1.2,0.15,0.0187933,0.06,,,,,0.242332,0.016,-0.04,44,0.06,0.03,10.4,0.5,-0.5,5.93,,,0.155,-4.92
HD 142 c,6005,5.3,6.8,0.21,,,,,2,RV,2012,1.579898,-49.075191,0.52,5.7,20.6,1.23,1.47,6245,4.62,0.09,477,0.7,0.5,0.07,,,,,,0.22,0.04,48,0.07,0.05,477,0.7,0.5,0.07,,,,,,-0.16,-0.04,-48,-0.07,-0.05,10.4,0.5,-0.5,5.93,,,,
HD 142022 b,1928,5.1,3.03,0.53,10,,,,1,RV,2006,242.57075,-84.23153611,0.79,7.7,34.33,0.9,1.09856,5499,4.36,0.19,53,2.6,0.005,0.23,6,,,,0.26,0,0.0438702,27,0.04,0.04,39,1.5,0.005,0.18,6,,,,-0.25,0,0.0438702,-27,-0.04,0.04,1.2,0,0,13.3,3.9,3.9,,
HD 142245 b,1299,1.9,2.77,0,,,,,1,RV,2011,238.234625,15.43075833,1.04,7.63,99.83,1.69,5.2,4878,3.3,0.23,48,0.2,0.09,0.32,,,,,2.68,0.12,0.1,44,0.06,0.03,48,0.2,0.09,0,,,,,-2.55,0.12,0.1,44,-0.06,0.03,2.66,0.5,-0.5,2.3,0.3,0.3,0.122,
HD 142415 b,386.3,1.66194,1.06061,0.5,,,,,1,RV,2004,239.4205001,-60.20000833,0.621,7.33,35.67,1.065,1.11902,5901.98,4.38218,0.21,1.6,0.0928774,0.0179178,,,,,,0.33,0.0459999,0.0380333,44,0.06,0.05,1.6,0.0928774,0.0179178,,,,,,-0.33,0.0450001,0.0380333,44,0.06,0.05,3.42751,0.5,0.5,1.1,,,0.234,-4.66521
HD 143105 b,2.1974,1.21,0.0379,0.07,,,,,1,RV,2016,238.402328,68.720116,0.52,6.75,46.95,1.51,,6380,4.37,0.15,0.0003,0.06,0.0009,0,,,,,0.47,0.11,,60,0.04,0.04,0.0003,0.06,0.0009,0.07,,,,,-0.46,0.11,,60,-0.04,0.04,9.1,1,-1,,,,,
HD 143361 b,1046.2,3.48,1.98,0.193,,,,,1,RV,2009,240.4603334,-44.43424722,0.773,9.2,68.72,0.95,0.99,5505,4.42,0.29,3.2,0.24,0.07,0.015,,,,,1.31,0,0.08,100,0.08,0,-3.2,-0.24,-0.07,-0.015,,,,,-1.26,0,-0.08,-100,-0.08,0,0,0,0,5,5,-5,,-4.92
HD 145377 b,103.95,5.76,0.45,0.307,,,,,1,RV,2009,242.9017917,-27.07820833,0.623,8.12,52.78,1.12,1.00052,6046,4.49,0.12,0.13,0.1,0.004,0.017,,,,,0.71,0,0.0393862,15,0.1,0.01,0.13,0.1,0.004,0.017,,,,,-0.69,0,0.0393862,15,-0.1,0.01,3.85,0,0,1.3,1,1,0.223,-4.62
HD 145457 b,176.3,2.97219,0.762504,0.112,,,,,1,RV,2010,242.516375,26.74265833,1.037,6.57,140.73,1.9,9.54834,4757,2.77,-0.14,0.39,0.339203,0.0401475,0.035,,,,,4.81,0.3,0.305562,100,0.1,0.09,0.39,0.339203,0.0401475,-0.035,,,,,-4.5,0.3,0.305562,100,-0.1,0.09,,,,,,,,
HD 145934 b,2730,2.28,4.6,0.053,,,,,1,RV,2015,243.29114,13.239476,1.05,8.5,240.32,1.75,5.38,,3.23,,100,0.26,0.14,0.053,,,,,14.93,0.1,0.44,,0.06,,100,-0.26,0.14,0.053,,,,,-13.28,-0.1,0.44,,-0.06,,,,,,,,,
HD 1461 b,5.77152,0.0203,0.0635202,0.14,,,,,2,RV,2010,4.673416665,-8.05265,0.674,6.6029,23.245,1.026,1.12553,5765,4.38,0.19,0.00045,0.0019,0.00105883,0.19,,,,,0.278873,0.035,0.026,18,0.03,0.01,0.00045,0.0019,0.00105883,0.19,,,,,0.272339,0.035,0.026,18,-0.03,0.01,1.6,,,6.3,,,0.156,-5.02
HD 1461 c,13.5052,0.0176,0.1117,0.305,,,,,2,RV,2015,4.674448,-8.053001,0.68,6.47,23.4,1.02,1.095,5765,4.38,0.19,0.0029,0.0023,0.0039,,,,,,0.5,,0.026,18,0.03,0.01,0.0029,0.0023,0.0039,,,,,,0.5,,0.026,18,-0.03,0.01,1.6,,,6.3,,,0.156,-5.03
HD 147018 b,44.236,2.12,0.2388,0.4686,,,,,2,RV,2010,245.7515417,-61.68799444,0.763,8.3,40.36,0.93,1.05268,5441,4.42,0.1,0.008,0.07,0.0039,0.0081,,,,,0.41,0.03,0.0494964,55,0.04,0.05,0.008,0.07,0.0039,0.0081,,,,,-0.4,-0.03,0.0494964,55,-0.04,0.05,1.56,0,0,6.36,4.33,4.33,,
HD 147018 c,1008,6.59355,1.922,0.133,,,,,2,RV,2010,245.7515417,-61.68799444,0.763,8.3,40.36,0.93,1.05268,5441,4.42,0.1,18,0.294275,0.039,0.011,,,,,0.41,0.03,0.0494964,55,0.04,0.05,18,0.294275,0.039,-0.011,,,,,-0.4,-0.03,0.0494964,55,-0.04,0.05,1.56,0,0,6.36,4.33,4.33,,
HD 147513 b,528.40002,1.17965,1.30958,0.26,,,,,1,RV,2004,246.0051666,-39.19298889,0.625,5.37,12.7779,1.072,0.850084,5929.74,4.61193,0.0891888,6.3,0.0842052,0.0241814,0.05,,,,,0.0606985,0.012,0.0313139,44,0.06,0.03,6.3,0.0842052,0.0241814,0.05,,,,,0.0601283,0.01,0.0313139,44,0.06,0.03,1.54643,0.5,0.5,0.3,,,0.291,-4.52074
HD 147873 b,116.596,5.14,0.522,0.207,,,,,1,RV,2016,246.438141,-33.56712,0.575,7.96,104.93,1.38,2.29,5972,3.86,-0.03,0.023,0.34,0.018,0.013,,,,,10.9,0.05,0.1,100,0.05,0.1,0.023,0.34,0.018,-0.013,,,,,10.9,0.05,0.1,100,-0.05,0.1,5.9,0.5,-0.5,4,3,3,0.129,-5.24
HD 147873 c,491.54,2.3,1.36,0.23,,,,,1,RV,2016,246.438141,-33.56712,0.575,7.96,104.93,1.38,2.29,5972,3.86,-0.03,0.79,0.18,0.05,0.03,,,,,10.9,0.05,0.1,100,0.05,0.1,0.79,0.18,0.05,0.03,,,,,10.9,0.05,0.1,100,-0.05,0.1,5.9,0.5,-0.5,4,3,3,0.129,-5.24
HD 148156 b,1027,0.85,2.45,0.52,,,,,1,RV,2010,247.071875,-46.31769722,0.56,7.69,57.15,1.22,1.21,6308,4.56,0.29,28,0.06,0.04,0.04,,,,,1.01,,0.03,28,0.07,0.02,-28,0.05,-0.05,-0.09,,,,,-0.97,,0.03,28,-0.07,0.02,5.7,1,1,,,,0.166,-4.94
HD 148427 b,331.5,1.14357,0.93,0.16,,,,,1,RV,2009,247.1173751,-13.39964444,0.93,6.89,70.56,1.45,3.92268,5052,3.39,0.154,3,0.0922395,0.01,0.08,,,,,2.18,0.06,0.12583,44,0.12,0.04,3,0.0922395,0.01,0.08,,,,,-2.05,0.06,0.12583,44,0.12,0.04,2.1,0.5,-0.5,2.5,,,0.1,-5.35
HD 149026 b,2.8758916,0.368,0.04288,0,84.55,0.813,12,0.571,1,RV,2005,247.6236666,38.34718056,0.611,8.16,76.68,1.34,1.54,6160,4.19,0.36,1.40E-06,0.013,0.00033,,0.35,0.027,7,0.044,1.3,0.02,0.05,50,0.02,0.05,1.40E-06,-0.014,0.00033,,-0.81,-0.025,7,-0.038,-1.26,-0.02,-0.04,-50,-0.02,0.05,6,0.5,-0.5,2.6,0.3,-0.2,,
