plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
Kepler-98 b,1.54168,0.011,0.0260305,0,,0.177536,,0.56,1,Transit,2014,285.6616542,37.9645,,,,0.99,1.11,5539,4.341,0.18,,0.005,,,,0.0196271,,0.14,,0.06,0.12,73,0.1,0.07,,-0.005,,,,0.0196271,,-0.14,,-0.06,-0.12,-73,0.1,-0.07,0.5,,,2.79,,,,
Kepler-980 b,11.55102504,0.021778,0.101644,0,,0.238,,,1,Transit,2016,294.6130001,45.06016667,,,804,1.05,1.06,5935,4.41,0.01,2.75E-05,0.0040332,0.00169407,,,0.00074,,,63.77,0.05,0.09,98.9,0.05,0.092,2.75E-05,0.0040332,0.00169407,,,0.06026,,,51.43,0.04,0.07,92.58,-0.06,0.089,,,,3.55,1.92,-1.68,,
Kepler-981 b,4.46975774,0.0175728,0.0527478,0,,0.206,,,1,Transit,2016,289.2489167,47.65011111,,,913,0.98,0.96,5718,4.47,0.01,5.86E-06,0.00223735,0.00087913,,,0.00058,,,119.87,0.04,0.12,78.23,0.05,0.146,5.86E-06,0.00223735,0.00087913,,,0.04242,,,73.34,0.05,0.07,82.87,-0.11,0.178,,,,4.07,3.8,-2.32,,
Kepler-982 b,15.7738221,0.0170154,0.129335,0,,0.201,,,1,Transit,2016,288.4176666,46.59041667,,,702,1.16,1.29,6139,4.28,0.05,4.12E-05,0.00314984,0.00222992,,,0.00048,,,144.46,0.07,0.27,54.99,0.1,0.086,4.12E-05,0.00314984,0.00222992,,,0.06552,,,84.85,0.05,0.15,62.95,-0.14,0.081,,,,3.55,0.86,-1.32,,
Kepler-983 b,60.0855082,0.0181548,0.312713,0,,0.211,,,1,Transit,2016,285.1040417,45.00816667,,,655,1.13,1.08,6052,4.42,0.12,0.0002611,0.00124808,0.00521188,,,0.00025,,,23.02,0.03,0.03,50.95,0.02,0.072,0.0002611,0.00124808,0.00521188,,,0.02175,,,23.32,0.02,0.03,47.66,-0.02,0.081,,,,1.41,0.403,-0.25,,
Kepler-984 b,43.0342272,0.0157709,0.237086,0,,0.189,,,1,Transit,2016,296.958875,46.39413889,,,461,0.96,0.93,5610,4.49,0.04,0.0001479,0.00103706,0.00395144,,,0.00047,,,27.41,0.04,0.05,94.38,0.04,0.104,-0.0001479,0.00103706,0.00395144,,,0.02153,,,22.58,0.04,0.04,91.79,-0.05,0.105,,,,3.98,3.02,-2.17,,
Kepler-985 b,116.331901,0.0265453,0.451946,0,,0.266,,,1,Transit,2016,290.1442917,44.04994444,,,741,0.91,0.85,5434,4.54,0,0.001381,0.00226915,0.00753243,,,0.00112,,,27.94,0.03,0.03,75.03,0.02,0.098,0.001381,0.00226915,0.00753243,,,0.02388,,,26.54,0.04,0.03,61.79,-0.03,0.111,,,,3.39,2.53,-2,,
Kepler-986 b,56.4349938,0.0181548,0.284051,0,,0.211,,,1,Transit,2016,293.094,42.89644444,,,563,0.96,0.98,5642,4.43,0.04,0.0001446,0.00233459,0.00473418,,,0.00069,,,68.13,0.04,0.12,74.24,0.08,0.096,-0.0001446,0.00233459,0.00473418,,,0.04231,,,44.89,0.04,0.08,60.93,-0.1,0.101,,,,6.17,3.54,-3.84,,
Kepler-987 b,105.3033148,0.0318486,0.432008,0,,0.291,,,1,Transit,2016,289.4110833,46.13086111,,,936,0.97,0.91,5637,4.51,0.01,0.0004783,0.00278571,0.00720013,,,0.00111,,,37.28,0.03,0.03,69.85,0.02,0.104,0.0004783,0.00278571,0.00720013,,,0.02389,,,36,0.03,0.03,60.98,-0.03,0.102,,,,2.45,1.78,-1.01,,
Kepler-988 b,17.76080053,0.015383,0.109153,0,,0.185,,,1,Transit,2016,290.708375,42.23725,,,248,0.55,0.53,4005,4.73,-0.32,2.73E-05,0.00240292,0.00181922,,,0.00803,,,14.06,0.02,0.02,43.58,0.02,0.103,2.73E-05,0.00240292,0.00181922,,,0.04797,,,13.39,0.02,0.02,41.86,-0.02,0.095,,,,3.16,4.32,-1.62,,
Kepler-989 b,7.96431535,0.0165864,0.0730539,0,,0.197,,,1,Transit,2016,281.5829166,47.23363889,,,484,0.82,0.78,5074,4.58,0.01,9.62E-06,0.00120339,0.00121757,,,0.00104,,,24.94,0.04,0.04,52.66,0.03,0.149,9.62E-06,0.00120339,0.00121757,,,0.02296,,,25.2,0.04,0.04,53.62,-0.05,0.175,,,,4.68,5.77,-2.82,,
Kepler-99 b,4.60358,0.0203553,0.0500668,0,,0.132,,0.56,1,Transit,2014,297.3540042,41.30002778,,,,0.79,0.73,4782,4.61,0.18,,0.004,,,,0.007,,0.14,,0.06,0.04,129,0.05,0.07,,-0.004,,,,-0.007,,0.14,,-0.06,-0.04,-129,-0.05,-0.07,0.5,,,1.47,,,,
Kepler-990 b,9.91723428,0.0208973,0.0918185,0,,0.232,,,2,Transit,2016,297.9382083,46.88138889,,,933,1.05,1.08,5948,4.39,0.01,2.47E-05,0.00556192,0.00306062,,,0.0002,,,242.95,0.12,0.27,211.07,0.1,0.134,2.47E-05,0.00556192,0.00306062,,,0.0948,,,130.03,0.09,0.14,213.6,-0.16,0.173,,,,3.55,2.38,-1.75,,
